"Dissertations, Academic.",Academic theses,http://id.loc.gov/authorities/genreForms/gf2014026039
Account books.,Account books,http://id.loc.gov/authorities/genreForms/gf2017026136
Action and adventure films.,Action and adventure films,http://id.loc.gov/authorities/genreForms/gf2011026005
Adventure films.,Action and adventure films,http://id.loc.gov/authorities/genreForms/gf2011026005
Action films.,Action and adventure films,http://id.loc.gov/authorities/genreForms/gf2011026005
Action and adventure television programs.,Action and adventure television programs,http://id.loc.gov/authorities/genreForms/gf2011026006
Adventure television programs.,Action and adventure television programs,http://id.loc.gov/authorities/genreForms/gf2011026006
Administrative regulations.,Administrative regulations,http://id.loc.gov/authorities/genreForms/gf2011026030
Aerial views.,Aerial views,http://id.loc.gov/authorities/genreForms/gf2011026033
Aleatory music.,Aleatory music,http://id.loc.gov/authorities/genreForms/gf2014026624
Allegories.,Allegories,http://id.loc.gov/authorities/genreForms/gf2014026218
Almanacs.,Almanacs,http://id.loc.gov/authorities/genreForms/gf2014026042
Alternate takes (Sound recordings),Alternate takes (Sound recordings),http://id.loc.gov/authorities/genreForms/gf2011026037
Alternative histories (Fiction),Alternative histories (Fiction),http://id.loc.gov/authorities/genreForms/gf2014026220
Amateur films.,Amateur films,http://id.loc.gov/authorities/genreForms/gf2011026038
Anecdotes.,Anecdotes,http://id.loc.gov/authorities/genreForms/gf2014026044
Animal films.,Animal films,http://id.loc.gov/authorities/genreForms/gf2011026047
Animated films.,Animated films,http://id.loc.gov/authorities/genreForms/gf2011026049
Animated television programs.,Animated television programs,http://id.loc.gov/authorities/genreForms/gf2011026050
Anthems.,Anthems,http://id.loc.gov/authorities/genreForms/gf2014026635
Anthology films.,Anthology films,http://id.loc.gov/authorities/genreForms/gf2011026051
Arthurian romances.,Arthurian romances,http://id.loc.gov/authorities/genreForms/gf2014026227
Artists' books.,Artists' books,http://id.loc.gov/authorities/genreForms/gf2017027220
Artists' books,Artists' books,http://id.loc.gov/authorities/genreForms/gf2017027220
Atlases.,Atlases,http://id.loc.gov/authorities/genreForms/gf2011026058
Auction catalogs.,Auction catalogs,http://id.loc.gov/authorities/genreForms/gf2017027221
Audiobooks.,Audiobooks,http://id.loc.gov/authorities/genreForms/gf2011026063
Audio books.,Audiobooks,http://id.loc.gov/authorities/genreForms/gf2011026063
Books on tape.,Audiobooks,http://id.loc.gov/authorities/genreForms/gf2011026063
Autobiographical fiction.,Autobiographical fiction,http://id.loc.gov/authorities/genreForms/gf2014026231
Autobiographical poetry.,Autobiographical poetry,http://id.loc.gov/authorities/genreForms/gf2014026232
Autobiographies.,Autobiographies,http://id.loc.gov/authorities/genreForms/gf2014026047
B films.,B films,http://id.loc.gov/authorities/genreForms/gf2011026073
Ballet television programs.,Ballet television programs,http://id.loc.gov/authorities/genreForms/gf2011026075
Bestiaries.,Bestiaries,http://id.loc.gov/authorities/genreForms/gf2014026239
Bible films.,Bible films,http://id.loc.gov/authorities/genreForms/gf2011026086
Bible plays.,Bible plays,http://id.loc.gov/authorities/genreForms/gf2014026241
Bildungsromans.,Bildungsromans,http://id.loc.gov/authorities/genreForms/gf2014026243
Biographical drama.,Biographical drama,http://id.loc.gov/authorities/genreForms/gf2014026245
Biographical fiction.,Biographical fiction,http://id.loc.gov/authorities/genreForms/gf2014026246
Biographical films.,Biographical films,http://id.loc.gov/authorities/genreForms/gf2011026089
Biographical television programs.,Biographical television programs,http://id.loc.gov/authorities/genreForms/gf2011026091
Black humor.,Black humor,http://id.loc.gov/authorities/genreForms/gf2014026248
Blank forms.,Blank forms,http://id.loc.gov/authorities/genreForms/gf2014026050
